UID_caps;caps_QC01A;caps_QC02A;caps_QC02;caps_QC03;caps_QC04A;caps_QC04B;caps_QC04C;caps_QC04D;caps_QC04E;caps_QC05_1;caps_QC05_2;caps_QC05_DO_QC05_1;caps_QC05_DO_QC05_2;caps_QC06A;caps_QC06B;caps_QC06C;caps_QC06D;caps_QC07;caps_QC08_1;caps_QC08_2;caps_QC08_3;caps_QC08_4;caps_QC08_5;caps_QC09A;caps_QC09B;caps_QC09C;caps_QC09D;caps_QC09E;caps_QC08B_1;caps_QC08B_2;caps_QC08B_3;caps_QC08B_4;caps_QC08B_5;caps_QC09A_2;caps_QC09B_2;caps_QC09C_2;caps_QC09D_2;caps_QC09E_2;caps_ccl_q01;caps_ccl_q02;caps_ccl_q03;caps_ccl_q04;caps_ccl_q05_1;caps_ccl_q05_2;caps_ccl_q05_3;caps_ccl_q05_4;caps_ccl_q05_5;caps_ccl_q05_6;caps_ALEA_C;caps_SliderOrder;caps_Slider_S1;caps_Slider_S2;caps_Slider_S3;caps_Slider_S4;caps_Slider_S5;caps_Choix_QC09A;caps_Choix_QC09B;caps_Choix_QC09C;caps_Choix_QC09D;caps_Choix_QC09E;caps_Choix_QC09A_2;caps_Choix_QC09B_2;caps_Choix_QC09C_2;caps_Choix_QC09D_2;caps_Choix_QC09E_2;caps_Device;caps_Version;caps_QC04_DO_QC04E;caps_QC04_DO_QC04D;caps_QC04_DO_QC04C;caps_QC04_DO_QC04B;caps_QC04_DO_QC04A;caps_QC04_DO_transition;caps_QC06_DO_transition;caps_caps_QC06_DO_QC06D;caps_QC06_DO_QC06C;caps_QC06_DO_QC06B;caps_QC06_DO_QC06A;cal_AGE;cal_DIPL;cal_SEXE;cal_TUU;cal_ZEAT;PDSPLT_INIT;POIDS_INIT;panel;POIDS_caps;PDSPLT_caps;eayy_a3_rec;eayy_a4_rev;eayy_a5;eayy_a5c_rec;eayy_b1_rev;eayy_b10a;eayy_b11;eayy_b11cjt;eayy_b18_rec;eayy_b18c;eayy_b18ccjt;eayy_b18cjt_rec;eayy_b1b;eayy_b1bcjt;eayy_b1cjt_rev;eayy_b2_11a_rec;eayy_b2_11acjt_rec;eayy_b25_rec;eayy_b25cjt_rec;eayy_b5;eayy_b5a_rec;eayy_b5acjt;eayy_b5d_rec;eayy_b6a_12a_rec;eayy_b6b_12b_rec;eayy_b7b_rec;eayy_b8_rec;eayy_b8cjt_rec;eayy_c1_rec;eayy_c1jeu;eayy_c8;eayy_c8a_rec;eayy_c8b_rec;eayy_d1;eayy_d2_rev;eayy_d3;eayy_d5a;eayy_d6;eayy_d7_rev_som;eayy_e1a;eayy_e1b;eayy_e1c;eayy_e1d;eayy_e1e;eayy_e1f1;eayy_e1f2;eayy_e1g;eayy_e1h;eayy_e1i;eayy_e1j;eayy_e2a_rec2;eayy_e2auc2;eayy_e2auc_source2;eayy_e3_som;eayy_e4;eayy_e5;eayy_e6;eayy_f1_rev;eayy_f1a1;eayy_f3_rev;eayy_f4;eayy_f6a;eayy_f7_som;eayy_f7ter;eayy_f9;eayy_g1_1;eayy_g1_2;eayy_g3a;eayy_g3b;eayy_g3c;eayy_g3d;eayy_g5;eayy_g6_1;eayy_g6_2;eayy_g6_3;eayy_g6_4;eayy_g7;eayy_g8a;eayy_g8b;eayy_g8c;eayy_h_c11;eayy_h_teo1;eayy_h5_rev;eayy_i1;eayy_i2;eayy_i8;eayy_i11_rev_22;eayy_i11a_22;eayy_i12_rev_22;eayy_i12a_22;eayy_j1;eayy_k1_rec;eayy_k2_rec;eayy_k3;eayy_pcs29_2020;eayy_pcs18_2020;eayy_pcs6_2020;eayy_pcs6cjt_2020;eayy_typmen5;eayy_vague
957;2;1;1;1;10;10;5;5;10;2;1;2;1;5;10;10;7;2;7;7;7;6;7;2;2;2;1;5;7;7;7;6;7;2;2;2;1;5;7;4;4;9999;3;3;3;2;2;2;2;S2|S1|S3|S5|S4;7;7;7;7;6;2;2;2;1;5;2;2;2;1;5;Mobile;1;3;6;5;2;4;1;1;2;4;5;3;1;2;2;1;7;;1,03979642778235;4;1,15342631455757;;1;1;3;6666;1;6666;6666;6666;8;3;6666;6666;1;6666;6666;9999;6666;2;6666;2;2;6666;2;3;6666;11;6666;6666;4;2;2;6666;6666;4;4;1;2;2;0;1;2;2;2;2;1;1;2;2;2;2;12;5;1;2;2;2;1;6;3;2;3;6;0;3;4;1;2;3;2;2;1;1;2;1;2;2;4;3;6666;2;2;2;7;2;3;3;2;6666;4;6666;3;4;5;5;56;56;5;6666;4;2025
1214;2;1;1;3;5;3;6;3;3;3;3;1;2;2;2;8;2;2;5;8;3;3;5;2;2;2;2;8;5;8;3;3;5;2;2;2;2;8;4;4;4;9999;3;2;2;3;5;2;2;S5|S1|S4|S2|S3;8;3;5;3;5;2;2;2;2;8;2;2;2;2;8;Mobile;1;2;4;6;5;3;1;1;3;5;2;4;6;2;2;6;8;;4,38837304819677;4;3,590703565325;;1;5;3;6666;5;6666;1;6666;9;3;6666;6666;2;6666;6666;5;6666;1;6666;6666;1;6666;6666;6;6666;6;1;6666;1;1;1;1;1;1;6666;2;5;3;1;2;2;2;1;2;2;2;2;2;2;2;8;6;1;3;2;5;3;10;7;5;4;7;1;3;3;3;3;3;1;2;2;2;2;2;1;1;2;1;6666;4;1;2;1;4;4;5;1;14;1;4;1;4;6;2;37;36;3;6666;1;2025
1397;2;1;1;4;6;4;5;6;2;3;4;2;1;6;4;5;6;2;7;6;6;2;6;2;2;2;2;10;7;6;6;2;6;2;2;2;2;10;2;4;3;9999;2;3;3;3;3;2;1;S5|S1|S2|S4|S3;6;6;6;2;7;2;2;2;2;10;2;2;2;2;10;Mobile;1;4;5;2;3;6;1;1;5;4;3;2;4;1;2;8;1;;2,29118628873607;4;2,62800004543725;;1;4;1;3;1;6666;6666;6666;11;5;5;11;1;1;1;5;4;1;1;1;2;1;2;6;6666;10;2;4;4;1;1;3;3;1;6666;2;3;3;2;1;2;2;2;2;2;2;2;2;1;1;13;10;1;3;1;4;1;7;6;4;4;5;3;3;5;1;1;5;5;4;2;2;2;1;1;1;5;1;1;2;1;4;1;1;2;7;1;9;1;2;3;4;5;4;37;36;3;3;4;2025
804;2;2;6666;3;8;5;8;0;2;3;3;2;1;9999;0;9999;9;1;3;5;7;5;7;2;2;2;2;9;3;4;9;5;9;2;2;2;2;9;10;4;3;9999;4;4;2;2;3;1;1;S5|S4|S3|S2|S1;7;5;7;5;3;2;2;2;2;9;2;2;2;2;9;Mobile;1;5;2;6;3;4;1;1;4;2;5;3;5;3;1;1;3;;4,38837304819677;4;3,590703565325;;1;1;1;4;1;6666;6666;6666;6;2;4;10;1;1;1;4;4;2;2;2;1;1;2;4;6666;7;4;4;2;1;2;6666;6666;4;1;1;2;1;1;1;1;2;2;2;2;2;2;2;2;2;12;9;1;3;2;4;3;8;4;3;4;4;1;3;4;1;1;1;1;3;1;2;2;1;2;1;5;2;2;4;2;1;7;1;2;5;1;7;1;2;2;5;5;2;46;46;4;5;3;2025
1208;2;1;1;4;8;8;8;8;8;4;3;1;2;5;8;9;5;1;7;8;6;8;8;2;2;2;2;7;7;8;6;8;8;2;2;2;2;7;8;4;3;9999;4;4;2;2;4;2;1;S4|S3|S2|S1|S5;8;6;8;7;8;2;2;2;2;7;2;2;2;2;7;6666;1;5;3;4;2;6;1;1;4;2;5;3;6;1;2;8;1;;2,04710960550573;4;2,28889976940279;;1;7;3;6666;5;6666;1;6666;10;4;6666;6666;2;6666;6666;4;6666;2;6666;6666;1;6666;6666;6;6666;11;4;6666;1;1;1;2;1;1;6666;2;5;3;1;2;2;2;1;2;2;2;2;2;2;2;12;10;1;3;2;6;1;8;4;5;3;4;2;3;1;2;1;3;2;4;3;1;2;2;2;1;3;3;6666;1;2;1;7;3;2;6;1;9;2;6666;2;5;7;2;37;36;3;6666;1;2025
1356;2;1;3;3;10;10;5;10;3;4;2;1;2;0;10;5;10;2;8;10;3;5;7;2;2;2;1;10;8;10;3;5;7;2;2;2;1;10;10;4;4;9999;4;4;1;1;4;1;1;S1|S5|S4|S2|S3;8;5;7;3;10;2;2;2;1;10;2;2;2;1;10;6666;1;6;4;3;2;5;1;1;5;3;2;4;6;1;1;0;2;;1,257305428703;4;1,34732315075071;;1;4;1;7;5;6666;1;1;11;5;3;9;2;2;5;4;4;2;2;6666;1;6666;6666;10;6666;1;4;4;2;1;1;3;1;1;6666;1;4;2;1;2;2;2;1;2;2;2;2;2;2;2;12;10;1;2;1;5;1;8;5;2;4;5;2;3;8;1;4;4;2;3;3;1;2;2;1;1;3;2;3;4;2;1;7;1;3;5;1;7;1;2;2;4;3;1;37;36;3;5;3;2025
148;2;2;6666;3;7;7;7;7;5;2;2;1;2;7;7;4;6;2;8;8;6;6;6;2;2;1;2;7;7;8;6;6;5;2;2;1;2;7;7;4;4;9999;3;4;3;1;3;2;2;S5|S1|S3|S2|S4;8;6;6;6;8;2;2;1;2;7;2;2;1;2;7;Mobile;1;5;3;6;2;4;1;1;5;2;3;4;1;2;2;6;8;;0,588178551667353;4;0,704391624871999;;1;3;1;2;3;6666;6666;6666;10;4;4;10;2;1;1;6666;3;6666;2;6666;6666;1;6666;6666;6666;6666;6666;3;2;1;2;6666;6666;3;2;2;1;5;0;1;2;2;2;2;2;2;1;2;2;1;9;5;1;1;2;2;3;7;3;3;3;5;0;3;4;4;1;2;2;1;1;2;2;1;2;1;3;2;3;4;2;1;7;3;2;6;1;7;1;2;1;2;1;2;6666;6666;6666;5;3;2025
1189;2;1;3;4;9;5;9;6;9999;4;3;1;2;5;5;9;5;1;9999;5;5;5;5;2;2;2;2;9;5;5;5;5;5;2;2;2;2;9;8;3;3;9999;3;3;2;2;3;2;1;S1|S3|S4|S2|S5;6666;5;5;5;5;2;2;2;2;9;2;2;2;2;9;Mobile;1;3;4;5;2;6;1;1;5;3;2;4;1;2;1;4;8;;0,769413972118757;4;0,921106098870944;;1;4;1;7;1;6666;6666;6666;8;3;4;10;1;1;1;2;2;1;2;1;1;1;5;6666;8;11;6666;6666;4;1;2;6666;6666;1;6666;1;5;2;0;1;2;2;2;2;2;1;2;2;2;2;11;5;1;2;2;4;3;10;3;3;4;5;0;3;5;2;3;1;2;2;1;2;2;2;2;1;4;2;3;3;1;1;5;2;2;10;1;6;1;1;2;4;8;3;45;41;4;4;4;2025
398;2;2;6666;3;9;7;8;7;7;2;2;2;1;7;5;9;4;2;6;8;8;6;6;1;2;2;1;4;6;8;8;6;6;1;2;2;1;4;6;4;4;9999;4;3;1;1;2;1;2;S2|S1|S5|S4|S3;8;6;6;6;8;1;2;2;1;4;1;2;2;1;4;Mobile;1;4;2;3;5;6;1;1;3;5;4;2;1;1;2;6;9;;0,158503069239358;4;0,200500196536134;;1;3;1;3;1;6666;6666;6666;11;5;4;10;1;1;1;4;1;2;6666;1;1;2;2;4;6666;11;3;6666;2;1;2;6666;6666;4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;11;7;1;3;2;3;3;8;6;4;3;2;2;3;7;4;4;5;2;3;2;2;2;2;1;2;4;3;3;4;2;1;7;4;3;3;1;13;2;6666;2;5;2;2;34;32;3;3;3;2025
866;2;1;1;1;8;8;9;8;7;2;2;1;2;8;8;8;5;2;8;8;8;8;8;1;2;1;2;3;8;8;8;8;8;1;2;1;2;3;8;4;3;1;4;4;1;2;3;2;2;S1|S5|S2|S3|S4;8;8;8;8;8;1;2;1;2;3;1;2;1;2;3;Mobile;1;2;4;3;6;5;1;1;2;5;4;3;2;2;2;1;5;;1,5825518905522;4;1,78522505007175;;1;3;1;3;1;6666;6666;6666;9;3;2;6;1;1;1;4;1;2;6666;1;2;1;1;10;6666;3;1;6666;3;2;2;6666;6666;3;2;1;3;1;0;1;1;2;2;2;2;2;1;2;2;2;9;4;1;1;2;2;1;6;2;2;2;2;0;3;6;4;4;1;1;1;1;2;2;2;1;2;3;2;3;4;1;2;4;2;3;3;1;8;1;3;2;3;5;5;56;56;5;5;4;2025
1554;2;1;1;5;8;2;8;7;3;4;4;2;1;5;5;5;5;1;1;9;1;8;8;1;2;2;2;8;1;9;1;8;8;1;2;2;2;8;5;4;4;9999;3;2;3;2;2;2;2;S2|S3|S4|S5|S1;8;1;9;1;8;1;2;2;2;8;1;2;2;2;8;Mobile;1;3;2;6;5;4;1;1;2;5;3;4;3;1;2;0;2;;1,39514369640242;4;1,57464022679718;;1;2;1;6;1;6666;6666;1;11;5;3;9;1;2;4;2;2;1;1;1;1;6666;3;6666;9;11;6666;6666;4;3;2;6666;6666;2;6666;1;4;1;0;1;2;1;2;1;1;2;2;2;2;2;12;7;1;3;2;2;3;7;4;4;3;4;9999;3;5;2;1;2;1;2;2;2;2;2;1;2;4;2;2;4;1;2;6;2;3;6;1;13;1;1;2;3;6;2;43;41;4;4;4;2025
689;1;2;6666;4;3;5;8;7;3;4;4;2;1;5;7;7;8;1;3;4;3;7;4;1;2;2;2;7;3;4;3;7;4;1;2;2;2;7;6;4;4;9999;4;4;4;3;2;3;1;S2|S3|S4|S1|S5;7;3;4;3;4;1;2;2;2;7;1;2;2;2;7;Mobile;1;3;2;6;4;5;1;1;4;2;3;5;1;2;1;0;4;;0,752588620764354;4;0,873096968207607;;1;1;1;3;3;6666;6666;6666;8;3;4;10;2;2;3;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;2;1;2;6666;6666;3;6;2;2;3;0;2;2;2;2;2;2;1;1;2;2;1;5;2;1;2;2;4;3;4;2;4;2;6;0;3;6;1;3;2;1;1;1;1;2;2;2;1;2;4;1;4;2;1;7;3;3;4;4;6666;4;6666;3;7;9;4;6666;6666;6666;6666;3;2025
240;1;1;1;4;7;6;9;8;6;4;2;1;2;8;7;8;4;2;9;5;4;7;5;1;2;2;2;8;9;5;4;7;5;1;2;2;2;8;7;4;3;9999;4;4;4;4;3;3;2;S1|S2|S4|S5|S3;9;5;5;4;7;1;2;2;2;8;1;2;2;2;8;Mobile;1;5;3;2;6;4;1;1;5;2;3;4;3;1;2;1;9;;1,5967415613088;4;1,75811369763868;;1;4;1;6;1;6666;6666;6666;11;5;3;9;1;1;1;2;4;1;2;1;1;1;1;6666;9;11;6666;4;4;3;2;6666;6666;2;6666;1;3;2;2;1;2;2;2;1;2;2;2;2;1;2;13;9;1;5;1;4;1;7;4;3;3;2;1;3;4;2;2;3;2;2;1;2;2;2;1;2;4;2;3;3;1;2;6;1;2;7;1;7;1;2;3;4;5;2;33;32;3;4;4;2025
1316;1;1;3;4;9;6;9;9;8;5;3;1;2;2;0;9;5;1;1;8;1;5;7;2;2;2;2;10;1;8;1;5;7;2;2;2;2;10;10;4;4;1;4;4;1;1;4;1;1;S5|S1|S4|S2|S3;8;5;7;1;1;2;2;2;2;10;2;2;2;2;10;6666;1;2;6;5;4;3;1;1;3;2;5;4;5;4;1;0;8;;4,38837304819677;4;3,590703565325;;1;4;1;7;5;6666;1;6666;4;1;1;4;2;1;5;4;4;1;2;6666;1;1;6666;4;6666;1;3;3;2;1;2;6666;6666;1;6666;1;5;2;2;1;2;2;1;2;2;2;2;2;2;2;10;7;1;2;2;3;1;7;4;1;2;2;0;3;2;2;1;2;9999;9999;9999;2;2;2;1;2;4;2;1;4;1;2;7;1;4;9;1;9;1;2;3;6;7;2;47;47;4;6;3;2025
58;2;2;6666;4;8;8;7;10;7;2;2;2;1;5;6;7;9;2;8;6;6;7;5;1;2;2;2;4;8;6;6;7;5;1;2;2;2;4;5;4;3;9999;3;3;2;2;2;1;1;S3|S2|S5|S4|S1;5;6;8;7;6;1;2;2;2;4;1;2;2;2;4;Mobile;1;2;3;4;5;6;1;1;3;5;2;4;1;1;1;6;7;;0,135825033643122;4;0,173910972240579;;1;1;2;2;3;6666;6666;6666;11;5;5;11;1;1;1;3;4;2;2;2;1;1;1;6;6666;8;4;4;2;1;2;6666;6666;3;2;2;1;3;1;1;2;2;2;2;2;2;2;2;2;2;12;10;1;2;2;5;3;8;7;3;4;3;0;3;8;4;4;2;2;3;1;1;2;1;1;1;2;2;6666;3;1;1;7;3;2;3;1;8;1;2;1;4;2;2;34;32;3;9999;5;2025
1393;2;2;6666;4;7;7;7;7;7;2;1;1;2;5;5;10;7;2;6;6;7;6;7;2;2;1;2;10;6;6;7;6;7;2;2;1;2;10;7;4;3;9999;4;4;3;2;3;2;2;S1|S4|S2|S3|S5;6;7;6;6;7;2;2;1;2;10;2;2;1;2;10;6666;1;3;4;2;5;6;1;1;2;4;5;3;1;2;2;0;5;;0,542831602432913;4;0,607415996636528;;1;1;3;6666;2;6666;6666;6666;10;4;6666;6666;1;6666;6666;2;6666;6666;6666;1;1;6666;2;6666;10;11;6666;6666;1;1;2;6666;6666;3;4;2;1;3;3;1;2;2;2;2;2;2;2;2;2;2;6;5;9996;1;2;4;3;5;5;1;2;2;1;3;5;4;2;2;2;2;1;1;2;2;2;1;3;1;6666;4;2;1;7;2;3;2;1;8;1;3;2;5;2;2;33;32;3;6666;1;2025
1491;2;2;6666;3;10;5;0;10;5;4;1;2;1;8;8;7;7;1;8;7;8;8;8;2;2;2;2;10;8;7;8;8;8;2;2;2;2;10;10;4;4;9999;4;4;3;1;4;1;2;S3|S2|S5|S4|S1;8;7;8;8;8;2;2;2;2;10;2;2;2;2;10;Mobile;1;2;4;3;6;5;1;1;2;5;3;4;1;3;1;6;9;;1,34244643912588;4;1,83305754707054;;1;1;3;6666;1;6666;6666;6666;7;2;6666;6666;1;6666;6666;4;6666;2;6666;1;1;6666;2;5;6666;2;3;6666;3;2;2;6666;6666;4;6;2;4;5;0;2;1;3;3;2;3;3;3;3;3;3;7;2;2;0;2;3;3;4;6;3;3;5;0;3;0;1;2;2;1;1;2;2;2;2;2;1;2;3;6666;1;1;2;6;3;3;5;1;8;1;2;4;6;7;2;64;61;6;6666;2;2025
121;2;2;6666;4;7;10;8;7;9;1;1;2;1;4;9;10;8;2;10;6;8;7;8;2;1;1;1;6;10;6;7;7;8;2;1;2;1;6;8;4;3;9999;4;4;1;1;3;2;1;S4|S5|S2|S3|S1;8;8;7;10;6;2;1;1;1;6;2;1;2;1;6;Mobile;1;4;6;2;5;3;1;1;5;3;2;4;1;2;2;0;7;;0,346469109281999;4;0,389137036232584;;1;1;3;6666;1;6666;6666;6666;10;4;6666;6666;1;6666;6666;4;6666;2;6666;1;1;6666;1;3;6666;7;1;6666;5;1;2;6666;6666;5;1;1;5;1;4;1;2;2;2;2;1;1;1;2;2;2;12;6;1;4;2;5;3;6;2;3;2;4;0;3;5;1;1;3;3;1;1;1;1;2;2;2;2;3;6666;2;1;2;6;2;2;1;1;8;1;2;1;3;3;4;55;55;5;6666;4;2025
1200;2;2;6666;4;8;8;8;8;8;1;1;2;1;4;8;6;8;2;8;9;9;8;7;1;2;1;1;0;8;9;9;8;7;1;2;1;1;0;4;3;3;9999;3;3;2;5;5;2;2;S5|S1|S2|S3|S4;9;9;8;7;8;1;2;1;1;0;1;2;1;1;0;Mobile;1;2;4;5;3;6;1;1;4;5;2;3;3;1;1;6;8;;4,2759096052046;4;3,590703565325;;1;2;1;2;1;6666;6666;6666;11;5;5;11;1;1;1;5;2;2;1;2;2;1;1;10;6666;9;1;6666;2;1;2;6666;6666;4;1;1;1;1;3;1;2;2;2;2;2;2;2;2;2;2;11;8;1;1;2;3;1;7;6;4;3;6;4;2;7;4;1;2;4;4;1;1;2;2;1;2;5;2;2;9999;2;2;7;1;3;1;1;10;1;2;2;7;5;2;42;41;4;3;3;2025
799;1;1;1;3;8;7;8;4;3;2;1;2;1;7;6;7;2;2;9;2;6;6;8;1;2;2;2;8;0;1;6;6;7;1;2;2;2;8;10;3;3;9999;4;4;2;1;4;2;2;S1|S4|S2|S5|S3;9;6;8;2;6;1;2;2;2;8;1;2;2;2;8;Mobile;1;5;6;3;2;4;1;1;4;3;2;5;5;2;2;4;9;;3,02868829444094;4;2,89702880063194;;1;3;1;3;5;6666;2;1;10;4;1;4;2;2;5;6666;1;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;2;1;2;6666;6666;2;6666;2;3;5;0;2;2;2;1;2;2;2;2;2;2;2;11;9;1;5;2;4;3;7;3;4;3;6;3;2;7;3;1;3;2;2;1;2;2;2;1;1;4;1;3;4;1;2;4;1;3;6;1;6;1;2;3;6;9;3;6666;6666;6666;2;3;2025
463;1;1;1;3;8;9;8;8;7;2;2;1;2;6;9;9;8;2;6;6;6;5;7;1;2;2;1;6;6;6;6;5;7;1;2;2;1;5;5;4;3;1;2;5;3;3;2;3;1;S3|S1|S2|S4|S5;6;6;6;5;7;1;2;2;1;6;1;2;2;1;5;6666;1;6;2;5;4;3;1;1;5;4;3;2;7;2;2;8;1;;4,38837304819677;4;3,590703565325;;1;7;3;6666;5;6666;1;6666;8;3;6666;6666;2;6666;6666;7;6666;2;6666;6666;1;6666;6666;6;6666;8;4;6666;1;1;1;1;1;1;6666;1;5;2;0;2;2;2;1;2;2;2;2;2;2;2;11;10;1;2;1;3;3;5;3;1;3;4;1;2;5;2;9999;2;2;9999;9999;2;2;2;1;2;3;3;6666;1;2;1;7;1;3;3;1;4;1;3;3;1;6;4;37;36;3;6666;1;2025
176;2;2;6666;3;9;9;8;9;9;1;1;1;2;6;10;6;10;2;8;8;4;8;5;1;1;1;1;5;8;8;4;8;5;1;1;1;1;5;8;4;4;1;4;3;2;2;3;2;2;S1|S2|S3|S4|S5;8;8;4;8;5;1;1;1;1;5;1;1;1;1;5;6666;1;5;6;2;4;3;1;1;5;2;4;3;1;1;2;0;8;;0,284086006663761;4;0,346508319458271;;1;3;2;2;3;6666;6666;6666;11;5;5;11;2;2;3;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;6666;2;1;2;6666;6666;3;2;2;1;3;3;2;2;2;2;2;2;1;1;2;2;1;8;4;1;2;1;4;3;10;7;6;4;4;9999;3;8;1;1;4;3;4;2;1;2;2;1;1;3;2;6666;2;2;1;7;1;4;3;1;8;1;2;1;6;3;1;6666;6666;6666;6666;5;2025
172;2;1;1;2;7;2;2;3;2;4;4;2;1;2;2;2;0;1;8;3;8;3;4;2;2;2;2;9;8;3;8;3;3;2;2;2;2;9;9;4;4;9999;4;4;1;1;5;1;2;S1|S2|S3|S5|S4;8;3;8;4;3;2;2;2;2;9;2;2;2;2;9;6666;1;6;5;3;2;4;1;1;4;2;3;5;3;2;2;1;8;;3,69718904453454;4;3,590703565325;;1;3;1;5;1;6666;6666;6666;10;4;2;6;1;1;1;4;4;2;2;1;1;1;1;10;6666;10;1;2;4;3;1;2;3;1;6666;3;3;2;0;1;2;2;2;2;2;2;2;2;2;2;11;4;2;0;2;3;3;9;6;5;4;6;1;3;4;1;4;2;2;2;4;2;2;2;1;2;4;2;3;9999;2;1;7;4;4;9999;1;14;2;6666;2;4;3;5;56;56;5;6;5;2025
348;2;2;6666;3;5;5;10;0;0;3;3;2;1;0;10;10;10;2;9;5;3;5;6;2;2;2;2;8;9;5;3;5;6;2;2;2;1;8;7;3;3;9999;3;5;2;3;5;2;1;S1|S2|S4|S3|S5;9;5;5;3;6;2;2;2;2;8;2;2;2;1;8;6666;1;4;2;3;5;6;1;1;4;2;3;5;6;2;2;1;5;;2,3851453618862;4;2,23041588612579;;1;4;1;7;5;6666;1;1;10;4;2;6;2;2;5;2;4;1;1;6666;1;6666;6666;6666;8;6;6666;2;2;1;2;6666;6666;1;6666;1;5;2;0;2;2;2;1;2;2;2;2;2;2;2;11;9;1;3;2;4;3;8;5;1;3;3;2;2;6;3;4;1;1;1;1;1;2;1;2;2;3;1;3;9999;1;3;4;2;3;6;1;7;1;2;2;6;4;3;45;41;4;6;3;2025
250;2;1;1;5;8;2;10;10;5;5;5;1;2;10;4;10;6;1;7;7;7;1;1;1;2;2;2;10;7;7;7;1;1;1;2;2;2;10;7;4;4;1;3;3;2;2;4;2;2;S3|S1|S5|S2|S4;7;1;7;1;7;1;2;2;2;10;1;2;2;2;10;Mobile;1;5;6;2;4;3;1;1;3;4;5;2;2;1;1;8;1;;1,6385731394532;4;2,1815088651782;;3;2;1;3;1;6666;6666;1;11;5;5;11;1;2;6;4;1;2;6666;1;1;6666;2;5;6666;10;3;6666;4;3;2;6666;6666;2;6666;2;3;4;1;2;2;1;2;2;1;2;2;2;2;2;11;6;9996;3;2;2;1;6;5;2;2;2;0;3;2;4;1;2;2;3;1;1;2;2;2;1;3;2;2;4;2;1;7;1;3;3;3;6666;3;6666;3;5;8;5;43;41;4;2;4;2025
1056;2;1;1;3;7;5;8;3;5;3;1;2;1;8;3;8;5;1;9999;9999;9999;9999;9999;1;2;2;2;6;5;5;5;5;5;1;2;2;2;6;8;4;4;9999;3;3;2;2;2;3;1;S3|S2|S5|S1|S4;6666;6666;6666;6666;6666;1;2;2;2;6;1;2;2;2;6;6666;1;5;2;3;6;4;1;1;5;2;3;4;1;2;1;4;4;;0,610781908567911;4;0,730988418999125;;2;4;1;7;1;6666;6666;6666;10;4;4;10;1;1;1;4;1;1;6666;1;1;1;5;5;6666;1;4;6666;3;1;1;1;2;1;6666;1;5;2;1;1;1;2;2;2;2;2;2;2;2;2;13;10;1;2;2;3;3;8;4;1;3;4;0;3;0;2;1;2;1;1;1;1;1;2;2;2;4;3;2;4;2;1;7;2;3;3;1;5;1;3;2;6;4;5;47;47;4;3;4;2025
471;2;2;6666;5;10;10;10;10;10;2;1;1;2;8;8;10;8;2;10;10;10;10;10;1;2;2;2;10;10;10;10;10;10;1;2;2;2;10;3;4;4;9999;3;4;4;1;3;1;2;S3|S2|S5|S1|S4;10;10;10;10;10;1;2;2;2;10;1;2;2;2;10;Mobile;1;6;4;5;2;3;1;1;3;5;4;2;1;1;2;8;1;;0,304521387117643;4;0,392251592867089;;1;1;2;3;3;6666;6666;6666;10;4;5;11;2;1;1;6666;2;6666;2;6666;6666;1;6666;6666;6666;6666;6666;6666;4;1;2;6666;6666;4;1;2;5;2;1;1;2;2;2;2;2;2;2;2;2;2;12;7;1;4;2;4;1;8;3;3;2;4;3;3;7;1;2;3;1;2;1;2;2;2;1;2;3;3;6666;1;2;1;7;2;3;2;1;5;1;1;1;2;4;2;6666;6666;6666;3;4;2025
1451;2;1;1;3;3;6;8;7;7;2;2;1;2;5;10;10;10;2;8;7;6;2;8;2;2;2;2;5;8;7;6;2;8;2;2;2;2;5;5;4;4;9999;3;3;2;2;3;2;2;S5|S2|S1|S3|S4;6;7;2;8;8;2;2;2;2;5;2;2;2;2;5;6666;1;6;5;3;2;4;1;1;4;2;3;5;3;1;1;6;9;;1,11101025078023;4;1,32502713706732;;1;2;1;4;1;6666;6666;1;11;5;5;11;1;2;4;4;2;2;2;1;1;6666;4;6;6666;4;4;6666;3;2;2;6666;6666;1;6666;1;2;2;2;1;1;1;2;2;2;2;2;2;1;2;13;10;1;5;2;6;3;10;6;4;3;3;1;1;8;4;4;2;2;2;2;1;2;2;2;1;4;2;2;3;2;1;7;1;3;2;1;4;1;2;1;6;5;1;38;36;3;4;4;2025
